"SEDE_NOMBRE_MAT","FACULTAD","PROGRAMA","NIVEL","n"
"Manizales","Ciencias Exactas Y Naturales","Ciencias Exactas Y Naturales","Pregrado",35
"Manizales","Ingenieria Y Arquitectura","Ingenieria - Automatica","Doctorado",53
"Manizales","Ingenieria Y Arquitectura","Ingenieria Automatica","Doctorado",34
"Manizales","Ingenieria Y Arquitectura","Ingenieria - Industria Y Organizaciones","Doctorado",19
"Manizales","Ingenieria Y Arquitectura","Ingenieria - Ingenieria Quimica","Doctorado",12
"Manizales","Ingenieria Y Arquitectura","Ingenieria Y Arquitectura","Doctorado",8
"Manizales","Ingenieria Y Arquitectura","Vias Y Transportes","Especializacion",430
"Manizales","Ingenieria Y Arquitectura","Direccion De Produccion Y Operaciones","Especializacion",309
"Manizales","Ingenieria Y Arquitectura","Ingenieria Hidraulica Y Ambiental","Especializacion",250
"Manizales","Ingenieria Y Arquitectura","Estructuras","Especializacion",242
"Manizales","Ingenieria Y Arquitectura","Ingenieria Ambiental - Area Sanitaria","Especializacion",106
"Manizales","Ingenieria Y Arquitectura","Ingenieria Y Arquitectura","Especializacion",67
"Manizales","Ingenieria Y Arquitectura","Ingenieria - Automatizacion Industrial","Especializacion",3
"Manizales","Ingenieria Y Arquitectura","Ingenieria - Automatizacion Industrial","Maestria",133
"Manizales","Ingenieria Y Arquitectura","Ingenieria - Ingenieria Quimica","Maestria",72
"Manizales","Ingenieria Y Arquitectura","Ingenieria - Ingenieria Industrial","Maestria",60
"Manizales","Ingenieria Y Arquitectura","Ingenieria - Ingenieria Electrica","Maestria",48
"Manizales","Ingenieria Y Arquitectura","Medio Ambiente Y Desarrollo","Maestria",37
"Manizales","Ingenieria Y Arquitectura","Ingenieria - Ingenieria Ambiental","Maestria",26
"Manizales","Ingenieria Y Arquitectura","Ingenieria Y Arquitectura","Maestria",26
"Manizales","Ingenieria Y Arquitectura","Ingenieria - Infraestructura Y Sistemas De Transporte","Maestria",19
"Manizales","Ingenieria Y Arquitectura","Habitat","Maestria",18
"Manizales","Ingenieria Y Arquitectura","Ingenieria Electrica","Maestria",17
"Manizales","Ingenieria Y Arquitectura","Ingenieria - Recursos Hidraulicos","Maestria",14
"Manizales","Ingenieria Y Arquitectura","Ingenieria - Estructuras","Maestria",2
"Manizales","Ingenieria Y Arquitectura","Ingenieria Civil","Pregrado",909
