"YEAR","LON_CIU_NAC","LAT_CIU_NAC","DEP_NAC","CIU_NAC","n"
2009,"-76.686001541799996","5.1533510032600001","CHOCO","Istmina",4
2009,"-76.695829782999994","2.9548816876599999","CAUCA","Suarez",1
2009,"-76.905039505800005","0.42390514219199998","PUTUMAYO","Valle del guamuez",1
2009,"-760404004061","185414505113","HUILA","Pitalito",9
2009,"-761250820708","84570969832","CORDOBA","Monteria",17
2009,"-76132240466","631400117617","ANTIOQUIA","Urrao",4
2009,"-761328690995","172319912364","CALDAS","Palestina",1
2009,"-761419665724","590066567336","CHOCO","El carmen de atrato",1
2009,"-761971756038","408535846473","VALLE DEL CAUCA","Tulua",6
2009,"-761995094028","457582061586","VALLE DEL CAUCA","Versalles",1
2009,"-762145418301","193035577877","HUILA","Isnos",1
2009,"-76235669636","489467123826","CHOCO","San jose del palmar",1
2009,"-762410411119","34194377673","VALLE DEL CAUCA","Pradera",1
2009,"-762629740972","700003402635","ANTIOQUIA","Dabeiba",3
2009,"-762708135539","188147214878","HUILA","San agustin",2
2009,"-7629821561","353293733103","VALLE DEL CAUCA","Palmira",35
2009,"-763117340825","368475027511","VALLE DEL CAUCA","El cerrito",2
2009,"-763216244643","420933453331","VALLE DEL CAUCA","Trujillo",1
2009,"-763335063129","376199549423","VALLE DEL CAUCA","Guacari",1
2009,"-764551928003","238112661665","CAUCA","Purace",1
2009,"-764847018162","279750888116","CAUCA","Caldono",1
2009,"-764853458905","301128796768","CAUCA","Santander de quilichao",1
2009,"-764978366718","0,504218750676","PUTUMAYO","Puerto asis",4
2009,"-765250791446","382289988625","META","Restrepo",1
2009,"-765263911952","340638218413","VALLE DEL CAUCA","Cali",55
2009,"-765273955374","263758943296","CAUCA","Piendamo",1
2009,"-766168096886","102995420604","PUTUMAYO","Villagarzon",1
2009,"-766261859724","788271669622","ANTIOQUIA","Apartado",8
2009,"-76640426845","243835548047","CAUCA","Popayan",14
2009,"-766465174314","509350793861","CHOCO","Condoto",1
2009,"-766511246326","569234946505","CHOCO","Quibdo",6
2009,"-766519175009","114428450756","PUTUMAYO","Mocoa",2
2009,"-766778696915","234972061446","CAUCA","Timbio",2
2009,"-766815647246","766615644949","ANTIOQUIA","Chigorodo",2
2009,"-767815037392","200463839075","CAUCA","La vega",4
2009,"-76875892028","117674026489","ANTIOQUIA","San francisco",1
2009,"-768802098557","0,676020477109","PUTUMAYO","Orito",2
2009,"-769212871804","12030862151","PUTUMAYO","Sibundoy",3
2009,"-769667571992","183756270293","CAUCA","Bolivar",2
2009,"-769689800339","119200057658","NARIÑO","Colon",1
2009,"-769689800339","119200057658","TOLIMA","Santa isabel",4
2009,"-769711823702","160014416755","NARIÑO","La cruz",4
2009,"-77.002511406799997","1.1465700937000001","NORTE DE SANTANDER","Santiago",1
2009,"-77.012728339700004","1.6691580391700001","BOLIVAR","San pablo",3
2009,"-77.120741972299996","1.5520849351999999","NARIÑO","San pedro de cartago",1
2009,"-77.168729364100002","1.80307505355","CAUCA","Mercaderes",1
2009,"-77.216541210299994","2.0413935585799998","CAUCA","Balboa",1
2009,"-77.407393755699999","1.2991672267800001","NARIÑO","La florida",1
2009,"-77.437884470399993","0.7365252068","NARIÑO","Cuaspud",3
2009,"-77.521395138100004","0.96849585711499997","NARIÑO","Iles",1
2009,"-77.547912056300007","1.1308690001299999","NARIÑO","Guaitarilla",6
2009,"-77.700374818499995","0.88224359638000005","NARIÑO","Aldana",1
2009,"-77016287834","159564430447","BOYACA","Belen",2
2009,"-77020565216","38736635476","VALLE DEL CAUCA","Buenaventura",1
2009,"-77128385668","159247717673","ANTIOQUIA","La union",8
2009,"-771955147333","10557848325","NARIÑO","Pasto",76
2009,"-772807279183","157012763762","NARIÑO","Taminango",1
2009,"-77390751149","140798382917","CAUCA","El tambo",2
2009,"-774587713765","162869823451","NARIÑO","Policarpa",2
2009,"-774773138188","128128758136","NARIÑO","Sandona",7
2009,"-775146115719","126245062268","NARIÑO","Ancuya",3
